preDexNum,preId,preFormKey,evoDexNum,evoId,evoFormKey,en,es-ES,es-419,fr,it,de,zh-Hans,zh-Hant,pt-BR,ko,ja,ca,eu,da,th,tr,ro,ru,id,hi,tl,nb-NO,sv,uk,vi,pl
868,MILCERY,,869,ALCREMIE,mint-cream,In a certain biome|Use the Strawberry Sweet (Great),En un bioma específico|Usa Confite Fresa (Súper),In a certain biome|Use the Dulce de Fresa (Great),Dans un biome précis|Avec l’objet Fraise en Sucre (Super),Nel bioma giusto|Con l’oggetto Bonbonfragola(Mega),In einem bestimmten Biome|Benötigt Zucker-Erdbeere (Super),在特定环境|使用草莓糖饰 (超级球),在特定環境|使用草莓糖飾 (超級球),Em um determinado bioma|Use Doce de Morango (Super),특정 바이옴에서|아이템 사용: 딸기사탕공예 (슈퍼),特定の バイオームで|いちごアメざいく (スーパー)を 使う,En un bioma concret|Utilitza l’objecte Strawberry Sweet (Súper),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),В определённом биоме|Используйте Клубничное Лакомство Мега,In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),I ett visst biom|Använd förmålet Jordgubbsgodis (Super),In a certain biome|Use the Полуничні Ласощі (Great),Ở 1 khu vực nhất định|Sử dụng vật phẩm Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great)
868,MILCERY,,869,ALCREMIE,lemon-cream,In a certain biome|Use the Strawberry Sweet (Great),En un bioma específico|Usa Confite Fresa (Súper),In a certain biome|Use the Dulce de Fresa (Great),Dans un biome précis|Avec l’objet Fraise en Sucre (Super),Nel bioma giusto|Con l’oggetto Bonbonfragola(Mega),In einem bestimmten Biome|Benötigt Zucker-Erdbeere (Super),在特定环境|使用草莓糖饰 (超级球),在特定環境|使用草莓糖飾 (超級球),Em um determinado bioma|Use Doce de Morango (Super),특정 바이옴에서|아이템 사용: 딸기사탕공예 (슈퍼),特定の バイオームで|いちごアメざいく (スーパー)を 使う,En un bioma concret|Utilitza l’objecte Strawberry Sweet (Súper),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),В определённом биоме|Используйте Клубничное Лакомство Мега,In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),I ett visst biom|Använd förmålet Jordgubbsgodis (Super),In a certain biome|Use the Полуничні Ласощі (Great),Ở 1 khu vực nhất định|Sử dụng vật phẩm Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great)
868,MILCERY,,869,ALCREMIE,salted-cream,In a certain biome|Use the Strawberry Sweet (Great),En un bioma específico|Usa Confite Fresa (Súper),In a certain biome|Use the Dulce de Fresa (Great),Dans un biome précis|Avec l’objet Fraise en Sucre (Super),Nel bioma giusto|Con l’oggetto Bonbonfragola(Mega),In einem bestimmten Biome|Benötigt Zucker-Erdbeere (Super),在特定环境|使用草莓糖饰 (超级球),在特定環境|使用草莓糖飾 (超級球),Em um determinado bioma|Use Doce de Morango (Super),특정 바이옴에서|아이템 사용: 딸기사탕공예 (슈퍼),特定の バイオームで|いちごアメざいく (スーパー)を 使う,En un bioma concret|Utilitza l’objecte Strawberry Sweet (Súper),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),В определённом биоме|Используйте Клубничное Лакомство Мега,In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),I ett visst biom|Använd förmålet Jordgubbsgodis (Super),In a certain biome|Use the Полуничні Ласощі (Great),Ở 1 khu vực nhất định|Sử dụng vật phẩm Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great)
868,MILCERY,,869,ALCREMIE,ruby-swirl,In a certain biome|Use the Strawberry Sweet (Great),En un bioma específico|Usa Confite Fresa (Súper),In a certain biome|Use the Dulce de Fresa (Great),Dans un biome précis|Avec l’objet Fraise en Sucre (Super),Nel bioma giusto|Con l’oggetto Bonbonfragola(Mega),In einem bestimmten Biome|Benötigt Zucker-Erdbeere (Super),在特定环境|使用草莓糖饰 (超级球),在特定環境|使用草莓糖飾 (超級球),Em um determinado bioma|Use Doce de Morango (Super),특정 바이옴에서|아이템 사용: 딸기사탕공예 (슈퍼),特定の バイオームで|いちごアメざいく (スーパー)を 使う,En un bioma concret|Utilitza l’objecte Strawberry Sweet (Súper),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),В определённом биоме|Используйте Клубничное Лакомство Мега,In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),I ett visst biom|Använd förmålet Jordgubbsgodis (Super),In a certain biome|Use the Полуничні Ласощі (Great),Ở 1 khu vực nhất định|Sử dụng vật phẩm Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great)
868,MILCERY,,869,ALCREMIE,caramel-swirl,In a certain biome|Use the Strawberry Sweet (Great),En un bioma específico|Usa Confite Fresa (Súper),In a certain biome|Use the Dulce de Fresa (Great),Dans un biome précis|Avec l’objet Fraise en Sucre (Super),Nel bioma giusto|Con l’oggetto Bonbonfragola(Mega),In einem bestimmten Biome|Benötigt Zucker-Erdbeere (Super),在特定环境|使用草莓糖饰 (超级球),在特定環境|使用草莓糖飾 (超級球),Em um determinado bioma|Use Doce de Morango (Super),특정 바이옴에서|아이템 사용: 딸기사탕공예 (슈퍼),特定の バイオームで|いちごアメざいく (スーパー)を 使う,En un bioma concret|Utilitza l’objecte Strawberry Sweet (Súper),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),В определённом биоме|Используйте Клубничное Лакомство Мега,In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),I ett visst biom|Använd förmålet Jordgubbsgodis (Super),In a certain biome|Use the Полуничні Ласощі (Great),Ở 1 khu vực nhất định|Sử dụng vật phẩm Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great)
868,MILCERY,,869,ALCREMIE,rainbow-swirl,In a certain biome|Use the Strawberry Sweet (Great),En un bioma específico|Usa Confite Fresa (Súper),In a certain biome|Use the Dulce de Fresa (Great),Dans un biome précis|Avec l’objet Fraise en Sucre (Super),Nel bioma giusto|Con l’oggetto Bonbonfragola(Mega),In einem bestimmten Biome|Benötigt Zucker-Erdbeere (Super),在特定环境|使用草莓糖饰 (超级球),在特定環境|使用草莓糖飾 (超級球),Em um determinado bioma|Use Doce de Morango (Super),특정 바이옴에서|아이템 사용: 딸기사탕공예 (슈퍼),特定の バイオームで|いちごアメざいく (スーパー)を 使う,En un bioma concret|Utilitza l’objecte Strawberry Sweet (Súper),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),В определённом биоме|Используйте Клубничное Лакомство Мега,In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great),I ett visst biom|Använd förmålet Jordgubbsgodis (Super),In a certain biome|Use the Полуничні Ласощі (Great),Ở 1 khu vực nhất định|Sử dụng vật phẩm Strawberry Sweet (Great),In a certain biome|Use the Strawberry Sweet (Great)
872,SNOM,,873,FROSMOTH,,With high friendship|During Night or Dusk,Teniendo suficiente amistad|Durante la noche o el anochecer,With high friendship|During Night or Dusk,Bonheur élevé|De Nuit ou au Crépuscule,Con sufficiente amicizia|Durante la Notte o al Tramonto,Mit hoher Zutraulichkeit|Während Nacht oder Abenddämmerung,高亲密度|在夜晚或黄昏,高親密度|在夜晚或黃昏,Tendo amizade alta|Durante Noite ou Crepúsculo,특정 친밀도 이상일 때|밤 또는 황혼,仲良し度が 高ければ|夜や夕方に,With high friendship|Durant la Nit o el Vespre,With high friendship|During Night or Dusk,With high friendship|During Night or Dusk,With high friendship|During Night or Dusk,With high friendship|During Night or Dusk,With high friendship|During Night or Dusk,С высокой дружбой|Ночью или в сумерках,With high friendship|During Night or Dusk,With high friendship|During Night or Dusk,With high friendship|During Night or Dusk,With high friendship|During Night or Dusk,Med hög vänskap|På natten eller skymningen,With high friendship|During Night or Dusk,Với điểm tình bạn cao|Vào Ban Đêm hoặc Hoàng Hôn,With high friendship|During Night or Dusk
878,CUFANT,,879,COPPERAJAH,,At Level 34,Al Nv.34,At Level 34,Au N. 34,Al Livello 34,Auf Lv. 34,在等级34,在等級34,No Nível 34,레벨 34,Lv.34で,Al nivell 34,At Level 34,At Level 34,At Level 34,At Level 34,At Level 34,На 34 Ур.,At Level 34,At Level 34,At Level 34,At Level 34,Vid nivå 34,At Level 34,Ở Cấp 34,Na Poziomie 34
884,DURALUDON,,1018,ARCHALUDON,,Use the Metal Alloy (Ultra),Usa Metal Compuesto (Ultra),Use the Metal Compuesto (Ultra),Avec l’objet Métal Composite (Hyper),Con l’oggetto Metallo composito(Ultra),Benötigt Legierungsmetall (Hyper),使用复合金属 (高级球),使用複合金屬 (究極),Use Liga de Metal (Ultra),아이템 사용: 복합금속 (하이퍼),ふくごうきんぞく (ハイパー)を 使う,Utilitza l’objecte Metal Alloy (Últra),Use the Metal Alloy (Ultra),Use the Metal Alloy (Ultra),Use the Metal Alloy (Ultra),Use the Metal Alloy (Ultra),Use the Metal Alloy (Ultra),Используйте Металлический Сплав Ультра,Use the Metal Alloy (Ultra),Use the Metal Alloy (Ultra),Use the Metal Alloy (Ultra),Use the Metal Alloy (Ultra),Använd förmålet Metallegering (Ultra),Use the Металевий Сплав (Ultra),Sử dụng vật phẩm Metal Alloy (Ultra),Use the Metal Alloy (Ultra)
885,DREEPY,,886,DRAKLOAK,,At Level 50,Al Nv.50,At Level 50,Au N. 50,Al Livello 50,Auf Lv. 50,在等级50,在等級50,No Nível 50,레벨 50,Lv.50で,Al nivell 50,At Level 50,At Level 50,At Level 50,At Level 50,At Level 50,На 50 Ур.,At Level 50,At Level 50,At Level 50,At Level 50,Vid nivå 50,At Level 50,Ở Cấp 50,Na Poziomie 50
886,DRAKLOAK,,887,DRAGAPULT,,At Level 60,Al Nv.60,At Level 60,Au N. 60,Al Livello 60,Auf Lv. 60,在等级60,在等級60,No Nível 60,레벨 60,Lv.60で,Al nivell 60,At Level 60,At Level 60,At Level 60,At Level 60,At Level 60,На 60 Ур.,At Level 60,At Level 60,At Level 60,At Level 60,Vid nivå 60,At Level 60,Ở Cấp 60,Na Poziomie 60
891,KUBFU,,892,URSHIFU,single-strike,Use the Scroll Of Darkness (Ultra),Usa Manuscrito Sombras (Ultra),Use the Manuscrito Sombras (Ultra),Avec l’objet Rouleau des Ténèbres (Hyper),Con l’oggetto Rotolo del Buio(Ultra),Benötigt Unlicht-Schriftrolle (Hyper),使用恶之挂轴 (高级球),使用惡之掛軸 (究極),Use Pergaminho da Escuridão (Ultra),아이템 사용: 악의 족자 (하이퍼),あくのかけじく (ハイパー)を 使う,Utilitza l’objecte Scroll Of Darkness (Últra),Use the Scroll Of Darkness (Ultra),Use the Scroll Of Darkness (Ultra),Use the Scroll Of Darkness (Ultra),Use the Scroll Of Darkness (Ultra),Use the Scroll Of Darkness (Ultra),Используйте Свиток Тьмы Ультра,Use the Scroll Of Darkness (Ultra),Use the Scroll Of Darkness (Ultra),Use the Scroll Of Darkness (Ultra),Use the Scroll Of Darkness (Ultra),Använd förmålet Mörkets skriftrulle (Ultra),Use the Сувій Темряви (Ultra),Sử dụng vật phẩm Scroll Of Darkness (Ultra),Use the Scroll Of Darkness (Ultra)
891,KUBFU,,892,URSHIFU,rapid-strike,Use the Scroll Of Waters (Ultra),Usa Manuscrito Aguas (Ultra),Use the Manuscrito Aguas (Ultra),Avec l’objet Rouleau de l’Eau (Hyper),Con l’oggetto Rotolo dell’Acqua(Ultra),Benötigt Wasser-Schriftrolle (Hyper),使用水之挂轴 (高级球),使用水之掛軸 (究極),Use Pergaminho da Água (Ultra),아이템 사용: 물의 족자 (하이퍼),みずのかけじく (ハイパー)を 使う,Utilitza l’objecte Scroll Of Waters (Últra),Use the Scroll Of Waters (Ultra),Use the Scroll Of Waters (Ultra),Use the Scroll Of Waters (Ultra),Use the Scroll Of Waters (Ultra),Use the Scroll Of Waters (Ultra),Используйте Свиток Вод Ультра,Use the Scroll Of Waters (Ultra),Use the Scroll Of Waters (Ultra),Use the Scroll Of Waters (Ultra),Use the Scroll Of Waters (Ultra),Använd förmålet Vattnets skriftrulle (Ultra),Use the Сувій Вод (Ultra),Sử dụng vật phẩm Scroll Of Waters (Ultra),Use the Scroll Of Waters (Ultra)
906,SPRIGATITO,,907,FLORAGATO,,At Level 16,Al Nv.16,At Level 16,Au N. 16,Al Livello 16,Auf Lv. 16,在等级16,在等級16,No Nível 16,레벨 16,Lv.16で,Al nivell 16,At Level 16,At Level 16,At Level 16,At Level 16,At Level 16,На 16 Ур.,At Level 16,At Level 16,At Level 16,At Level 16,Vid nivå 16,At Level 16,Ở Cấp 16,Na Poziomie 16
907,FLORAGATO,,908,MEOWSCARADA,,At Level 36,Al Nv.36,At Level 36,Au N. 36,Al Livello 36,Auf Lv. 36,在等级36,在等級36,No Nível 36,레벨 36,Lv.36で,Al nivell 36,At Level 36,At Level 36,At Level 36,At Level 36,At Level 36,На 36 Ур.,At Level 36,At Level 36,At Level 36,At Level 36,Vid nivå 36,At Level 36,Ở Cấp 36,Na Poziomie 36
909,FUECOCO,,910,CROCALOR,,At Level 16,Al Nv.16,At Level 16,Au N. 16,Al Livello 16,Auf Lv. 16,在等级16,在等級16,No Nível 16,레벨 16,Lv.16で,Al nivell 16,At Level 16,At Level 16,At Level 16,At Level 16,At Level 16,На 16 Ур.,At Level 16,At Level 16,At Level 16,At Level 16,Vid nivå 16,At Level 16,Ở Cấp 16,Na Poziomie 16
910,CROCALOR,,911,SKELEDIRGE,,At Level 36,Al Nv.36,At Level 36,Au N. 36,Al Livello 36,Auf Lv. 36,在等级36,在等級36,No Nível 36,레벨 36,Lv.36で,Al nivell 36,At Level 36,At Level 36,At Level 36,At Level 36,At Level 36,На 36 Ур.,At Level 36,At Level 36,At Level 36,At Level 36,Vid nivå 36,At Level 36,Ở Cấp 36,Na Poziomie 36
912,QUAXLY,,913,QUAXWELL,,At Level 16,Al Nv.16,At Level 16,Au N. 16,Al Livello 16,Auf Lv. 16,在等级16,在等級16,No Nível 16,레벨 16,Lv.16で,Al nivell 16,At Level 16,At Level 16,At Level 16,At Level 16,At Level 16,На 16 Ур.,At Level 16,At Level 16,At Level 16,At Level 16,Vid nivå 16,At Level 16,Ở Cấp 16,Na Poziomie 16
913,QUAXWELL,,914,QUAQUAVAL,,At Level 36,Al Nv.36,At Level 36,Au N. 36,Al Livello 36,Auf Lv. 36,在等级36,在等級36,No Nível 36,레벨 36,Lv.36で,Al nivell 36,At Level 36,At Level 36,At Level 36,At Level 36,At Level 36,На 36 Ур.,At Level 36,At Level 36,At Level 36,At Level 36,Vid nivå 36,At Level 36,Ở Cấp 36,Na Poziomie 36
915,LECHONK,,916,OINKOLOGNE,female,(♀ only)|At Level 18,(♀ solo)|Al Nv.18,(♀ only)|At Level 18,(♀ uniquement)|Au N. 18,(Solo ♀)|Al Livello 18,(Nur ♀)|Auf Lv. 18,(仅♀)|在等级18,(僅♀)|在等級18,(somente ♀)|No Nível 18,(♀ 한정)|레벨 18,(♀のみ)|Lv.18で,(només ♀)|Al nivell 18,(♀ only)|At Level 18,(♀ only)|At Level 18,(♀ only)|At Level 18,(♀ only)|At Level 18,(♀ only)|At Level 18,(Только ♀)|На 18 Ур.,(♀ only)|At Level 18,(♀ only)|At Level 18,(♀ only)|At Level 18,(♀ only)|At Level 18,(Endast ♀)|Vid nivå 18,(♀ only)|At Level 18,(chỉ ♀)|Ở Cấp 18,(Tylko ♀)|Na Poziomie 18
915,LECHONK,,916,OINKOLOGNE,,(♂ only)|At Level 18,(♂ solo)|Al Nv.18,(♂ only)|At Level 18,(♂ uniquement)|Au N. 18,(Solo ♂)|Al Livello 18,(Nur ♂)|Auf Lv. 18,(仅♂)|在等级18,(僅♂)|在等級18,(somente ♂)|No Nível 18,(♂ 한정)|레벨 18,(♂のみ)|Lv.18で,(només ♂)|Al nivell 18,(♂ only)|At Level 18,(♂ only)|At Level 18,(♂ only)|At Level 18,(♂ only)|At Level 18,(♂ only)|At Level 18,(Только ♂)|На 18 Ур.,(♂ only)|At Level 18,(♂ only)|At Level 18,(♂ only)|At Level 18,(♂ only)|At Level 18,(Endast ♂)|Vid nivå 18,(♂ only)|At Level 18,(chỉ ♂)|Ở Cấp 18,(Tylko ♂)|Na Poziomie 18
917,TAROUNTULA,,918,SPIDOPS,,At Level 15,Al Nv.15,At Level 15,Au N. 15,Al Livello 15,Auf Lv. 15,在等级15,在等級15,No Nível 15,레벨 15,Lv.15で,Al nivell 15,At Level 15,At Level 15,At Level 15,At Level 15,At Level 15,На 15 Ур.,At Level 15,At Level 15,At Level 15,At Level 15,Vid nivå 15,At Level 15,Ở Cấp 15,Na Poziomie 15
919,NYMBLE,,920,LOKIX,,At Level 24,Al Nv.24,At Level 24,Au N. 24,Al Livello 24,Auf Lv. 24,在等级24,在等級24,No Nível 24,레벨 24,Lv.24で,Al nivell 24,At Level 24,At Level 24,At Level 24,At Level 24,At Level 24,На 24 Ур.,At Level 24,At Level 24,At Level 24,At Level 24,Vid nivå 24,At Level 24,Ở Cấp 24,Na Poziomie 24
921,PAWMI,,922,PAWMO,,At Level 18,Al Nv.18,At Level 18,Au N. 18,Al Livello 18,Auf Lv. 18,在等级18,在等級18,No Nível 18,레벨 18,Lv.18で,Al nivell 18,At Level 18,At Level 18,At Level 18,At Level 18,At Level 18,На 18 Ур.,At Level 18,At Level 18,At Level 18,At Level 18,Vid nivå 18,At Level 18,Ở Cấp 18,Na Poziomie 18
922,PAWMO,,923,PAWMOT,,At Level 32,Al Nv.32,At Level 32,Au N. 32,Al Livello 32,Auf Lv. 32,在等级32,在等級32,No Nível 32,레벨 32,Lv.32で,Al nivell 32,At Level 32,At Level 32,At Level 32,At Level 32,At Level 32,На 32 Ур.,At Level 32,At Level 32,At Level 32,At Level 32,Vid nivå 32,At Level 32,Ở Cấp 32,Na Poziomie 32
924,TANDEMAUS,,925,MAUSHOLD,three,At Level 25,Al Nv.25,At Level 25,Au N. 25,Al Livello 25,Auf Lv. 25,在等级25,在等級25,No Nível 25,레벨 25,Lv.25で,Al nivell 25,At Level 25,At Level 25,At Level 25,At Level 25,At Level 25,На 25 Ур.,At Level 25,At Level 25,At Level 25,At Level 25,Vid nivå 25,At Level 25,Ở Cấp 25,Na Poziomie 25
924,TANDEMAUS,,925,MAUSHOLD,four,At Level 25,Al Nv.25,At Level 25,Au N. 25,Al Livello 25,Auf Lv. 25,在等级25,在等級25,No Nível 25,레벨 25,Lv.25で,Al nivell 25,At Level 25,At Level 25,At Level 25,At Level 25,At Level 25,На 25 Ур.,At Level 25,At Level 25,At Level 25,At Level 25,Vid nivå 25,At Level 25,Ở Cấp 25,Na Poziomie 25
926,FIDOUGH,,927,DACHSBUN,,At Level 26,Al Nv.26,At Level 26,Au N. 26,Al Livello 26,Auf Lv. 26,在等级26,在等級26,No Nível 26,레벨 26,Lv.26で,Al nivell 26,At Level 26,At Level 26,At Level 26,At Level 26,At Level 26,На 26 Ур.,At Level 26,At Level 26,At Level 26,At Level 26,Vid nivå 26,At Level 26,Ở Cấp 26,Na Poziomie 26
928,SMOLIV,,929,DOLLIV,,At Level 25,Al Nv.25,At Level 25,Au N. 25,Al Livello 25,Auf Lv. 25,在等级25,在等級25,No Nível 25,레벨 25,Lv.25で,Al nivell 25,At Level 25,At Level 25,At Level 25,At Level 25,At Level 25,На 25 Ур.,At Level 25,At Level 25,At Level 25,At Level 25,Vid nivå 25,At Level 25,Ở Cấp 25,Na Poziomie 25
929,DOLLIV,,930,ARBOLIVA,,At Level 35,Al Nv.35,At Level 35,Au N. 35,Al Livello 35,Auf Lv. 35,在等级35,在等級35,No Nível 35,레벨 35,Lv.35で,Al nivell 35,At Level 35,At Level 35,At Level 35,At Level 35,At Level 35,На 35 Ур.,At Level 35,At Level 35,At Level 35,At Level 35,Vid nivå 35,At Level 35,Ở Cấp 35,Na Poziomie 35
932,NACLI,,933,NACLSTACK,,At Level 24,Al Nv.24,At Level 24,Au N. 24,Al Livello 24,Auf Lv. 24,在等级24,在等級24,No Nível 24,레벨 24,Lv.24で,Al nivell 24,At Level 24,At Level 24,At Level 24,At Level 24,At Level 24,На 24 Ур.,At Level 24,At Level 24,At Level 24,At Level 24,Vid nivå 24,At Level 24,Ở Cấp 24,Na Poziomie 24
933,NACLSTACK,,934,GARGANACL,,At Level 38,Al Nv.38,At Level 38,Au N. 38,Al Livello 38,Auf Lv. 38,在等级38,在等級38,No Nível 38,레벨 38,Lv.38で,Al nivell 38,At Level 38,At Level 38,At Level 38,At Level 38,At Level 38,На 38 Ур.,At Level 38,At Level 38,At Level 38,At Level 38,Vid nivå 38,At Level 38,Ở Cấp 38,Na Poziomie 38
935,CHARCADET,,936,ARMAROUGE,,Use the Auspicious Armor (Great),Usa Armadura Auspiciosa (Súper),Use the Armadura Auspiciosa (Great),Avec l’objet Armure de la Fortune (Super),Con l’oggetto Armatura fausta(Mega),Benötigt Glorienrüstung (Super),使用庆祝之铠 (超级球),使用慶祝之鎧 (超級球),Use Armadura Prometida (Super),아이템 사용: 축복받은갑옷 (슈퍼),イワイノヨロイ (スーパー)を 使う,Utilitza l’objecte Auspicious Armor (Súper),Use the Auspicious Armor (Great),Use the Auspicious Armor (Great),Use the Auspicious Armor (Great),Use the Auspicious Armor (Great),Use the Auspicious Armor (Great),Используйте Благоприятные Доспехи Мега,Use the Auspicious Armor (Great),Use the Auspicious Armor (Great),Use the Auspicious Armor (Great),Use the Auspicious Armor (Great),Använd förmålet Högtidsrustning (Super),Use the Благополучні Обладунки (Great),Sử dụng vật phẩm Auspicious Armor (Great),Use the Auspicious Armor (Great)
935,CHARCADET,,937,CERULEDGE,,Use the Malicious Armor (Great),Usa Armadura Maldita (Súper),Use the Armadura Maldita (Great),Avec l’objet Armure de la Rancune (Super),Con l’oggetto Armatura infausta(Mega),Benötigt Fluchrüstung (Super),使用咒术之铠 (超级球),使用咒術之鎧 (超級球),Use Armadura Maldita (Super),아이템 사용: 저주받은갑옷 (슈퍼),ノロイノヨロイ (スーパー)を 使う,Utilitza l’objecte Malicious Armor (Súper),Use the Malicious Armor (Great),Use the Malicious Armor (Great),Use the Malicious Armor (Great),Use the Malicious Armor (Great),Use the Malicious Armor (Great),Используйте Злобные Доспехи Мега,Use the Malicious Armor (Great),Use the Malicious Armor (Great),Use the Malicious Armor (Great),Use the Malicious Armor (Great),Använd förmålet Spöktimsrustning (Super),Use the Злісні Обладунки (Great),Sử dụng vật phẩm Malicious Armor (Great),Use the Malicious Armor (Great)
938,TADBULB,,939,BELLIBOLT,,Use the Thunder Stone (Great),Usa Piedra Trueno (Súper),Use the Piedra Trueno (Great),Avec l’objet Pierre Foudre (Super),Con l’oggetto Pietratuono(Mega),Benötigt Donnerstein (Super),使用雷之石 (超级球),使用雷之石 (超級球),Use Pedra do Trovão (Super),아이템 사용: 천둥의돌 (슈퍼),かみなりのいし (スーパー)を 使う,Utilitza l’objecte Thunder Stone (Súper),Use the Thunder Stone (Great),Use the Thunder Stone (Great),Use the Thunder Stone (Great),Use the Yıldırım Taşı (Great),Use the Thunder Stone (Great),Используйте Громовой Камень Мега,Use the Thunder Stone (Great),Use the Thunder Stone (Great),Use the Thunder Stone (Great),Use the Thunder Stone (Great),Använd förmålet Åsksten (Super),Use the Електро-Камінь (Great),Sử dụng vật phẩm Thunder Stone (Great),Use the Thunder Stone (Great)
940,WATTREL,,941,KILOWATTREL,,At Level 25,Al Nv.25,At Level 25,Au N. 25,Al Livello 25,Auf Lv. 25,在等级25,在等級25,No Nível 25,레벨 25,Lv.25で,Al nivell 25,At Level 25,At Level 25,At Level 25,At Level 25,At Level 25,На 25 Ур.,At Level 25,At Level 25,At Level 25,At Level 25,Vid nivå 25,At Level 25,Ở Cấp 25,Na Poziomie 25
942,MASCHIFF,,943,MABOSSTIFF,,At Level 30,Al Nv.30,At Level 30,Au N. 30,Al Livello 30,Auf Lv. 30,在等级30,在等級30,No Nível 30,레벨 30,Lv.30で,Al nivell 30,At Level 30,At Level 30,At Level 30,At Level 30,At Level 30,На 30 Ур.,At Level 30,At Level 30,At Level 30,At Level 30,Vid nivå 30,At Level 30,Ở Cấp 30,Na Poziomie 30
944,SHROODLE,,945,GRAFAIAI,,At Level 28,Al Nv.28,At Level 28,Au N. 28,Al Livello 28,Auf Lv. 28,在等级28,在等級28,No Nível 28,레벨 28,Lv.28で,Al nivell 28,At Level 28,At Level 28,At Level 28,At Level 28,At Level 28,На 28 Ур.,At Level 28,At Level 28,At Level 28,At Level 28,Vid nivå 28,At Level 28,Ở Cấp 28,Na Poziomie 28
946,BRAMBLIN,,947,BRAMBLEGHAST,,At Level 30,Al Nv.30,At Level 30,Au N. 30,Al Livello 30,Auf Lv. 30,在等级30,在等級30,No Nível 30,레벨 30,Lv.30で,Al nivell 30,At Level 30,At Level 30,At Level 30,At Level 30,At Level 30,На 30 Ур.,At Level 30,At Level 30,At Level 30,At Level 30,Vid nivå 30,At Level 30,Ở Cấp 30,Na Poziomie 30
948,TOEDSCOOL,,949,TOEDSCRUEL,,At Level 30,Al Nv.30,At Level 30,Au N. 30,Al Livello 30,Auf Lv. 30,在等级30,在等級30,No Nível 30,레벨 30,Lv.30で,Al nivell 30,At Level 30,At Level 30,At Level 30,At Level 30,At Level 30,На 30 Ур.,At Level 30,At Level 30,At Level 30,At Level 30,Vid nivå 30,At Level 30,Ở Cấp 30,Na Poziomie 30
