dexNum,speciesId,preFormKey,evoFormKey,en,es-ES,es-419,fr,de,it,pr-BR,ko,ja,zh-Hans,zh-Hant,th,ca,eu,tr,ru,uk,pl,id,hi,vi,da,sv,tl
818,INTELEON,gigantamax,,Deactivating Max Mushrooms,Desactivando Maxisetas,Deactivating Maxihongo,Avec l’objet Maxi Champis désactivé,Dyna-Pilz deaktivieren,Disattivando Fungomax,Deactivating Max Mushrooms,다이버섯[[를]] 통해 비활성화,ダイキノコを 無効に すれば,禁用了极巨菇菇,禁用了極巨菇菇,Deactivating Max Mushrooms,Desactivant Max Mushrooms,Deactivating Max Mushrooms,Deactivating Maksi Mantarlar,Деактивация Макс-Грибы,Deactivating Max Mushrooms,Dezaktywując: Max Mushrooms,Deactivating Jamur Max,Deactivating मैक्स मुशरूम,Vô Hiệu Hoá Nấm Max,Deactivating Max Mushrooms,Vid avaktivering av Maxsvampar,Deactivating Max Mushrooms
823,CORVIKNIGHT,,gigantamax,Activating Max Mushrooms,Activando Maxisetas,Activating Maxihongo,Avec l’objet Maxi Champis activé,Dyna-Pilz aktivieren,Attivando Fungomax,Activating Max Mushrooms,다이버섯[[를]] 통해 폼체인지,ダイキノコを 有効に すれば,激活了极巨菇菇,活化了極巨菇菇,Activating Max Mushrooms,Activant Max Mushrooms,Activating Max Mushrooms,Activating Maksi Mantarlar,Активация Макс-Грибы,Activating Max Mushrooms,Aktywując: Max Mushrooms,Activating Jamur Max,Activating मैक्स मुशरूम,Kích hoạt Nấm Max,Activating Max Mushrooms,Vid aktivering av Maxsvampar,Activating Max Mushrooms
823,CORVIKNIGHT,gigantamax,,Deactivating Max Mushrooms,Desactivando Maxisetas,Deactivating Maxihongo,Avec l’objet Maxi Champis désactivé,Dyna-Pilz deaktivieren,Disattivando Fungomax,Deactivating Max Mushrooms,다이버섯[[를]] 통해 비활성화,ダイキノコを 無効に すれば,禁用了极巨菇菇,禁用了極巨菇菇,Deactivating Max Mushrooms,Desactivant Max Mushrooms,Deactivating Max Mushrooms,Deactivating Maksi Mantarlar,Деактивация Макс-Грибы,Deactivating Max Mushrooms,Dezaktywując: Max Mushrooms,Deactivating Jamur Max,Deactivating मैक्स मुशरूम,Vô Hiệu Hoá Nấm Max,Deactivating Max Mushrooms,Vid avaktivering av Maxsvampar,Deactivating Max Mushrooms
826,ORBEETLE,,gigantamax,Activating Max Mushrooms,Activando Maxisetas,Activating Maxihongo,Avec l’objet Maxi Champis activé,Dyna-Pilz aktivieren,Attivando Fungomax,Activating Max Mushrooms,다이버섯[[를]] 통해 폼체인지,ダイキノコを 有効に すれば,激活了极巨菇菇,活化了極巨菇菇,Activating Max Mushrooms,Activant Max Mushrooms,Activating Max Mushrooms,Activating Maksi Mantarlar,Активация Макс-Грибы,Activating Max Mushrooms,Aktywując: Max Mushrooms,Activating Jamur Max,Activating मैक्स मुशरूम,Kích hoạt Nấm Max,Activating Max Mushrooms,Vid aktivering av Maxsvampar,Activating Max Mushrooms
826,ORBEETLE,gigantamax,,Deactivating Max Mushrooms,Desactivando Maxisetas,Deactivating Maxihongo,Avec l’objet Maxi Champis désactivé,Dyna-Pilz deaktivieren,Disattivando Fungomax,Deactivating Max Mushrooms,다이버섯[[를]] 통해 비활성화,ダイキノコを 無効に すれば,禁用了极巨菇菇,禁用了極巨菇菇,Deactivating Max Mushrooms,Desactivant Max Mushrooms,Deactivating Max Mushrooms,Deactivating Maksi Mantarlar,Деактивация Макс-Грибы,Deactivating Max Mushrooms,Dezaktywując: Max Mushrooms,Deactivating Jamur Max,Deactivating मैक्स मुशरूम,Vô Hiệu Hoá Nấm Max,Deactivating Max Mushrooms,Vid avaktivering av Maxsvampar,Deactivating Max Mushrooms
834,DREDNAW,,gigantamax,Activating Max Mushrooms,Activando Maxisetas,Activating Maxihongo,Avec l’objet Maxi Champis activé,Dyna-Pilz aktivieren,Attivando Fungomax,Activating Max Mushrooms,다이버섯[[를]] 통해 폼체인지,ダイキノコを 有効に すれば,激活了极巨菇菇,活化了極巨菇菇,Activating Max Mushrooms,Activant Max Mushrooms,Activating Max Mushrooms,Activating Maksi Mantarlar,Активация Макс-Грибы,Activating Max Mushrooms,Aktywując: Max Mushrooms,Activating Jamur Max,Activating मैक्स मुशरूम,Kích hoạt Nấm Max,Activating Max Mushrooms,Vid aktivering av Maxsvampar,Activating Max Mushrooms
834,DREDNAW,gigantamax,,Deactivating Max Mushrooms,Desactivando Maxisetas,Deactivating Maxihongo,Avec l’objet Maxi Champis désactivé,Dyna-Pilz deaktivieren,Disattivando Fungomax,Deactivating Max Mushrooms,다이버섯[[를]] 통해 비활성화,ダイキノコを 無効に すれば,禁用了极巨菇菇,禁用了極巨菇菇,Deactivating Max Mushrooms,Desactivant Max Mushrooms,Deactivating Max Mushrooms,Deactivating Maksi Mantarlar,Деактивация Макс-Грибы,Deactivating Max Mushrooms,Dezaktywując: Max Mushrooms,Deactivating Jamur Max,Deactivating मैक्स मुशरूम,Vô Hiệu Hoá Nấm Max,Deactivating Max Mushrooms,Vid avaktivering av Maxsvampar,Deactivating Max Mushrooms
839,COALOSSAL,,gigantamax,Activating Max Mushrooms,Activando Maxisetas,Activating Maxihongo,Avec l’objet Maxi Champis activé,Dyna-Pilz aktivieren,Attivando Fungomax,Activating Max Mushrooms,다이버섯[[를]] 통해 폼체인지,ダイキノコを 有効に すれば,激活了极巨菇菇,活化了極巨菇菇,Activating Max Mushrooms,Activant Max Mushrooms,Activating Max Mushrooms,Activating Maksi Mantarlar,Активация Макс-Грибы,Activating Max Mushrooms,Aktywując: Max Mushrooms,Activating Jamur Max,Activating मैक्स मुशरूम,Kích hoạt Nấm Max,Activating Max Mushrooms,Vid aktivering av Maxsvampar,Activating Max Mushrooms
839,COALOSSAL,gigantamax,,Deactivating Max Mushrooms,Desactivando Maxisetas,Deactivating Maxihongo,Avec l’objet Maxi Champis désactivé,Dyna-Pilz deaktivieren,Disattivando Fungomax,Deactivating Max Mushrooms,다이버섯[[를]] 통해 비활성화,ダイキノコを 無効に すれば,禁用了极巨菇菇,禁用了極巨菇菇,Deactivating Max Mushrooms,Desactivant Max Mushrooms,Deactivating Max Mushrooms,Deactivating Maksi Mantarlar,Деактивация Макс-Грибы,Deactivating Max Mushrooms,Dezaktywując: Max Mushrooms,Deactivating Jamur Max,Deactivating मैक्स मुशरूम,Vô Hiệu Hoá Nấm Max,Deactivating Max Mushrooms,Vid avaktivering av Maxsvampar,Deactivating Max Mushrooms
841,FLAPPLE,,gigantamax,Activating Max Mushrooms,Activando Maxisetas,Activating Maxihongo,Avec l’objet Maxi Champis activé,Dyna-Pilz aktivieren,Attivando Fungomax,Activating Max Mushrooms,다이버섯[[를]] 통해 폼체인지,ダイキノコを 有効に すれば,激活了极巨菇菇,活化了極巨菇菇,Activating Max Mushrooms,Activant Max Mushrooms,Activating Max Mushrooms,Activating Maksi Mantarlar,Активация Макс-Грибы,Activating Max Mushrooms,Aktywując: Max Mushrooms,Activating Jamur Max,Activating मैक्स मुशरूम,Kích hoạt Nấm Max,Activating Max Mushrooms,Vid aktivering av Maxsvampar,Activating Max Mushrooms
841,FLAPPLE,gigantamax,,Deactivating Max Mushrooms,Desactivando Maxisetas,Deactivating Maxihongo,Avec l’objet Maxi Champis désactivé,Dyna-Pilz deaktivieren,Disattivando Fungomax,Deactivating Max Mushrooms,다이버섯[[를]] 통해 비활성화,ダイキノコを 無効に すれば,禁用了极巨菇菇,禁用了極巨菇菇,Deactivating Max Mushrooms,Desactivant Max Mushrooms,Deactivating Max Mushrooms,Deactivating Maksi Mantarlar,Деактивация Макс-Грибы,Deactivating Max Mushrooms,Dezaktywując: Max Mushrooms,Deactivating Jamur Max,Deactivating मैक्स मुशरूम,Vô Hiệu Hoá Nấm Max,Deactivating Max Mushrooms,Vid avaktivering av Maxsvampar,Deactivating Max Mushrooms
842,APPLETUN,,gigantamax,Activating Max Mushrooms,Activando Maxisetas,Activating Maxihongo,Avec l’objet Maxi Champis activé,Dyna-Pilz aktivieren,Attivando Fungomax,Activating Max Mushrooms,다이버섯[[를]] 통해 폼체인지,ダイキノコを 有効に すれば,激活了极巨菇菇,活化了極巨菇菇,Activating Max Mushrooms,Activant Max Mushrooms,Activating Max Mushrooms,Activating Maksi Mantarlar,Активация Макс-Грибы,Activating Max Mushrooms,Aktywując: Max Mushrooms,Activating Jamur Max,Activating मैक्स मुशरूम,Kích hoạt Nấm Max,Activating Max Mushrooms,Vid aktivering av Maxsvampar,Activating Max Mushrooms
842,APPLETUN,gigantamax,,Deactivating Max Mushrooms,Desactivando Maxisetas,Deactivating Maxihongo,Avec l’objet Maxi Champis désactivé,Dyna-Pilz deaktivieren,Disattivando Fungomax,Deactivating Max Mushrooms,다이버섯[[를]] 통해 비활성화,ダイキノコを 無効に すれば,禁用了极巨菇菇,禁用了極巨菇菇,Deactivating Max Mushrooms,Desactivant Max Mushrooms,Deactivating Max Mushrooms,Deactivating Maksi Mantarlar,Деактивация Макс-Грибы,Deactivating Max Mushrooms,Dezaktywując: Max Mushrooms,Deactivating Jamur Max,Deactivating मैक्स मुशरूम,Vô Hiệu Hoá Nấm Max,Deactivating Max Mushrooms,Vid avaktivering av Maxsvampar,Deactivating Max Mushrooms
844,SANDACONDA,,gigantamax,Activating Max Mushrooms,Activando Maxisetas,Activating Maxihongo,Avec l’objet Maxi Champis activé,Dyna-Pilz aktivieren,Attivando Fungomax,Activating Max Mushrooms,다이버섯[[를]] 통해 폼체인지,ダイキノコを 有効に すれば,激活了极巨菇菇,活化了極巨菇菇,Activating Max Mushrooms,Activant Max Mushrooms,Activating Max Mushrooms,Activating Maksi Mantarlar,Активация Макс-Грибы,Activating Max Mushrooms,Aktywując: Max Mushrooms,Activating Jamur Max,Activating मैक्स मुशरूम,Kích hoạt Nấm Max,Activating Max Mushrooms,Vid aktivering av Maxsvampar,Activating Max Mushrooms
844,SANDACONDA,gigantamax,,Deactivating Max Mushrooms,Desactivando Maxisetas,Deactivating Maxihongo,Avec l’objet Maxi Champis désactivé,Dyna-Pilz deaktivieren,Disattivando Fungomax,Deactivating Max Mushrooms,다이버섯[[를]] 통해 비활성화,ダイキノコを 無効に すれば,禁用了极巨菇菇,禁用了極巨菇菇,Deactivating Max Mushrooms,Desactivant Max Mushrooms,Deactivating Max Mushrooms,Deactivating Maksi Mantarlar,Деактивация Макс-Грибы,Deactivating Max Mushrooms,Dezaktywując: Max Mushrooms,Deactivating Jamur Max,Deactivating मैक्स मुशरूम,Vô Hiệu Hoá Nấm Max,Deactivating Max Mushrooms,Vid avaktivering av Maxsvampar,Deactivating Max Mushrooms
845,CRAMORANT,,gulping,Due to its ability,Debido a su habilidad,Due to its ability,Due à son talent,Durch seine Fähigkeit,Tramite la sua abilità,Due to its ability,특성을 통해 폼체인지,特性により,由于其特性,由於其特性,Due to its ability,A causa de la seva habilitat,Due to its ability,Due to its ability,Из-за его способности,Due to its ability,Due to its ability,Due to its ability,Due to its ability,Bởi đặc tính của nó,Due to its ability,På grund av dess särdrag,Due to its ability
845,CRAMORANT,,gorging,Due to its ability,Debido a su habilidad,Due to its ability,Due à son talent,Durch seine Fähigkeit,Tramite la sua abilità,Due to its ability,특성을 통해 폼체인지,特性により,由于其特性,由於其特性,Due to its ability,A causa de la seva habilitat,Due to its ability,Due to its ability,Из-за его способности,Due to its ability,Due to its ability,Due to its ability,Due to its ability,Bởi đặc tính của nó,Due to its ability,På grund av dess särdrag,Due to its ability
845,CRAMORANT,gulping,,Due to its ability,Debido a su habilidad,Due to its ability,Due à son talent,Durch seine Fähigkeit,Tramite la sua abilità,Due to its ability,특성을 통해 폼체인지,特性により,由于其特性,由於其特性,Due to its ability,A causa de la seva habilitat,Due to its ability,Due to its ability,Из-за его способности,Due to its ability,Due to its ability,Due to its ability,Due to its ability,Bởi đặc tính của nó,Due to its ability,På grund av dess särdrag,Due to its ability
845,CRAMORANT,gorging,,Due to its ability,Debido a su habilidad,Due to its ability,Due à son talent,Durch seine Fähigkeit,Tramite la sua abilità,Due to its ability,특성을 통해 폼체인지,特性により,由于其特性,由於其特性,Due to its ability,A causa de la seva habilitat,Due to its ability,Due to its ability,Из-за его способности,Due to its ability,Due to its ability,Due to its ability,Due to its ability,Bởi đặc tính của nó,Due to its ability,På grund av dess särdrag,Due to its ability
845,CRAMORANT,gulping,,After leaving the field,Después de dejar el combate,After leaving the field,Après avoir quitté le terrain,Beim Verlassen des Kampfs,Quando lascia il campo,After leaving the field,볼에 들어간 경우,場から 引っ込んだ後,离开对战场地后,離開對戰場地後,After leaving the field,Després de sortir del camp de batalla,After leaving the field,After leaving the field,После ухода с поля,After leaving the field,Po opuszczeniu pola bitwy,After leaving the field,After leaving the field,Khi rời sàn đấu,After leaving the field,När den har bytts av,After leaving the field
845,CRAMORANT,gorging,,After leaving the field,Después de dejar el combate,After leaving the field,Après avoir quitté le terrain,Beim Verlassen des Kampfs,Quando lascia il campo,After leaving the field,볼에 들어간 경우,場から 引っ込んだ後,离开对战场地后,離開對戰場地後,After leaving the field,Després de sortir del camp de batalla,After leaving the field,After leaving the field,После ухода с поля,After leaving the field,Po opuszczeniu pola bitwy,After leaving the field,After leaving the field,Khi rời sàn đấu,After leaving the field,När den har bytts av,After leaving the field
849,TOXTRICITY,amped,gigantamax,Activating Max Mushrooms,Activando Maxisetas,Activating Maxihongo,Avec l’objet Maxi Champis activé,Dyna-Pilz aktivieren,Attivando Fungomax,Activating Max Mushrooms,다이버섯[[를]] 통해 폼체인지,ダイキノコを 有効に すれば,激活了极巨菇菇,活化了極巨菇菇,Activating Max Mushrooms,Activant Max Mushrooms,Activating Max Mushrooms,Activating Maksi Mantarlar,Активация Макс-Грибы,Activating Max Mushrooms,Aktywując: Max Mushrooms,Activating Jamur Max,Activating मैक्स मुशरूम,Kích hoạt Nấm Max,Activating Max Mushrooms,Vid aktivering av Maxsvampar,Activating Max Mushrooms
849,TOXTRICITY,lowkey,gigantamax,Activating Max Mushrooms,Activando Maxisetas,Activating Maxihongo,Avec l’objet Maxi Champis activé,Dyna-Pilz aktivieren,Attivando Fungomax,Activating Max Mushrooms,다이버섯[[를]] 통해 폼체인지,ダイキノコを 有効に すれば,激活了极巨菇菇,活化了極巨菇菇,Activating Max Mushrooms,Activant Max Mushrooms,Activating Max Mushrooms,Activating Maksi Mantarlar,Активация Макс-Грибы,Activating Max Mushrooms,Aktywując: Max Mushrooms,Activating Jamur Max,Activating मैक्स मुशरूम,Kích hoạt Nấm Max,Activating Max Mushrooms,Vid aktivering av Maxsvampar,Activating Max Mushrooms
849,TOXTRICITY,gigantamax,amped,Deactivating Max Mushrooms,Desactivando Maxisetas,Deactivating Maxihongo,Avec l’objet Maxi Champis désactivé,Dyna-Pilz deaktivieren,Disattivando Fungomax,Deactivating Max Mushrooms,다이버섯[[를]] 통해 비활성화,ダイキノコを 無効に すれば,禁用了极巨菇菇,禁用了極巨菇菇,Deactivating Max Mushrooms,Desactivant Max Mushrooms,Deactivating Max Mushrooms,Deactivating Maksi Mantarlar,Деактивация Макс-Грибы,Deactivating Max Mushrooms,Dezaktywując: Max Mushrooms,Deactivating Jamur Max,Deactivating मैक्स मुशरूम,Vô Hiệu Hoá Nấm Max,Deactivating Max Mushrooms,Vid avaktivering av Maxsvampar,Deactivating Max Mushrooms
849,TOXTRICITY,gigantamax,lowkey,Deactivating Max Mushrooms,Desactivando Maxisetas,Deactivating Maxihongo,Avec l’objet Maxi Champis désactivé,Dyna-Pilz deaktivieren,Disattivando Fungomax,Deactivating Max Mushrooms,다이버섯[[를]] 통해 비활성화,ダイキノコを 無効に すれば,禁用了极巨菇菇,禁用了極巨菇菇,Deactivating Max Mushrooms,Desactivant Max Mushrooms,Deactivating Max Mushrooms,Deactivating Maksi Mantarlar,Деактивация Макс-Грибы,Deactivating Max Mushrooms,Dezaktywując: Max Mushrooms,Deactivating Jamur Max,Deactivating मैक्स मुशरूम,Vô Hiệu Hoá Nấm Max,Deactivating Max Mushrooms,Vid avaktivering av Maxsvampar,Deactivating Max Mushrooms
851,CENTISKORCH,,gigantamax,Activating Max Mushrooms,Activando Maxisetas,Activating Maxihongo,Avec l’objet Maxi Champis activé,Dyna-Pilz aktivieren,Attivando Fungomax,Activating Max Mushrooms,다이버섯[[를]] 통해 폼체인지,ダイキノコを 有効に すれば,激活了极巨菇菇,活化了極巨菇菇,Activating Max Mushrooms,Activant Max Mushrooms,Activating Max Mushrooms,Activating Maksi Mantarlar,Активация Макс-Грибы,Activating Max Mushrooms,Aktywując: Max Mushrooms,Activating Jamur Max,Activating मैक्स मुशरूम,Kích hoạt Nấm Max,Activating Max Mushrooms,Vid aktivering av Maxsvampar,Activating Max Mushrooms
851,CENTISKORCH,gigantamax,,Deactivating Max Mushrooms,Desactivando Maxisetas,Deactivating Maxihongo,Avec l’objet Maxi Champis désactivé,Dyna-Pilz deaktivieren,Disattivando Fungomax,Deactivating Max Mushrooms,다이버섯[[를]] 통해 비활성화,ダイキノコを 無効に すれば,禁用了极巨菇菇,禁用了極巨菇菇,Deactivating Max Mushrooms,Desactivant Max Mushrooms,Deactivating Max Mushrooms,Deactivating Maksi Mantarlar,Деактивация Макс-Грибы,Deactivating Max Mushrooms,Dezaktywując: Max Mushrooms,Deactivating Jamur Max,Deactivating मैक्स मुशरूम,Vô Hiệu Hoá Nấm Max,Deactivating Max Mushrooms,Vid avaktivering av Maxsvampar,Deactivating Max Mushrooms
858,HATTERENE,,gigantamax,Activating Max Mushrooms,Activando Maxisetas,Activating Maxihongo,Avec l’objet Maxi Champis activé,Dyna-Pilz aktivieren,Attivando Fungomax,Activating Max Mushrooms,다이버섯[[를]] 통해 폼체인지,ダイキノコを 有効に すれば,激活了极巨菇菇,活化了極巨菇菇,Activating Max Mushrooms,Activant Max Mushrooms,Activating Max Mushrooms,Activating Maksi Mantarlar,Активация Макс-Грибы,Activating Max Mushrooms,Aktywując: Max Mushrooms,Activating Jamur Max,Activating मैक्स मुशरूम,Kích hoạt Nấm Max,Activating Max Mushrooms,Vid aktivering av Maxsvampar,Activating Max Mushrooms
858,HATTERENE,gigantamax,,Deactivating Max Mushrooms,Desactivando Maxisetas,Deactivating Maxihongo,Avec l’objet Maxi Champis désactivé,Dyna-Pilz deaktivieren,Disattivando Fungomax,Deactivating Max Mushrooms,다이버섯[[를]] 통해 비활성화,ダイキノコを 無効に すれば,禁用了极巨菇菇,禁用了極巨菇菇,Deactivating Max Mushrooms,Desactivant Max Mushrooms,Deactivating Max Mushrooms,Deactivating Maksi Mantarlar,Деактивация Макс-Грибы,Deactivating Max Mushrooms,Dezaktywując: Max Mushrooms,Deactivating Jamur Max,Deactivating मैक्स मुशरूम,Vô Hiệu Hoá Nấm Max,Deactivating Max Mushrooms,Vid avaktivering av Maxsvampar,Deactivating Max Mushrooms
861,GRIMMSNARL,,gigantamax,Activating Max Mushrooms,Activando Maxisetas,Activating Maxihongo,Avec l’objet Maxi Champis activé,Dyna-Pilz aktivieren,Attivando Fungomax,Activating Max Mushrooms,다이버섯[[를]] 통해 폼체인지,ダイキノコを 有効に すれば,激活了极巨菇菇,活化了極巨菇菇,Activating Max Mushrooms,Activant Max Mushrooms,Activating Max Mushrooms,Activating Maksi Mantarlar,Активация Макс-Грибы,Activating Max Mushrooms,Aktywując: Max Mushrooms,Activating Jamur Max,Activating मैक्स मुशरूम,Kích hoạt Nấm Max,Activating Max Mushrooms,Vid aktivering av Maxsvampar,Activating Max Mushrooms
861,GRIMMSNARL,gigantamax,,Deactivating Max Mushrooms,Desactivando Maxisetas,Deactivating Maxihongo,Avec l’objet Maxi Champis désactivé,Dyna-Pilz deaktivieren,Disattivando Fungomax,Deactivating Max Mushrooms,다이버섯[[를]] 통해 비활성화,ダイキノコを 無効に すれば,禁用了极巨菇菇,禁用了極巨菇菇,Deactivating Max Mushrooms,Desactivant Max Mushrooms,Deactivating Max Mushrooms,Deactivating Maksi Mantarlar,Деактивация Макс-Грибы,Deactivating Max Mushrooms,Dezaktywując: Max Mushrooms,Deactivating Jamur Max,Deactivating मैक्स मुशरूम,Vô Hiệu Hoá Nấm Max,Deactivating Max Mushrooms,Vid avaktivering av Maxsvampar,Deactivating Max Mushrooms
869,ALCREMIE,vanilla-cream,gigantamax,Activating Max Mushrooms,Activando Maxisetas,Activating Maxihongo,Avec l’objet Maxi Champis activé,Dyna-Pilz aktivieren,Attivando Fungomax,Activating Max Mushrooms,다이버섯[[를]] 통해 폼체인지,ダイキノコを 有効に すれば,激活了极巨菇菇,活化了極巨菇菇,Activating Max Mushrooms,Activant Max Mushrooms,Activating Max Mushrooms,Activating Maksi Mantarlar,Активация Макс-Грибы,Activating Max Mushrooms,Aktywując: Max Mushrooms,Activating Jamur Max,Activating मैक्स मुशरूम,Kích hoạt Nấm Max,Activating Max Mushrooms,Vid aktivering av Maxsvampar,Activating Max Mushrooms
869,ALCREMIE,ruby-cream,gigantamax,Activating Max Mushrooms,Activando Maxisetas,Activating Maxihongo,Avec l’objet Maxi Champis activé,Dyna-Pilz aktivieren,Attivando Fungomax,Activating Max Mushrooms,다이버섯[[를]] 통해 폼체인지,ダイキノコを 有効に すれば,激活了极巨菇菇,活化了極巨菇菇,Activating Max Mushrooms,Activant Max Mushrooms,Activating Max Mushrooms,Activating Maksi Mantarlar,Активация Макс-Грибы,Activating Max Mushrooms,Aktywując: Max Mushrooms,Activating Jamur Max,Activating मैक्स मुशरूम,Kích hoạt Nấm Max,Activating Max Mushrooms,Vid aktivering av Maxsvampar,Activating Max Mushrooms
869,ALCREMIE,matcha-cream,gigantamax,Activating Max Mushrooms,Activando Maxisetas,Activating Maxihongo,Avec l’objet Maxi Champis activé,Dyna-Pilz aktivieren,Attivando Fungomax,Activating Max Mushrooms,다이버섯[[를]] 통해 폼체인지,ダイキノコを 有効に すれば,激活了极巨菇菇,活化了極巨菇菇,Activating Max Mushrooms,Activant Max Mushrooms,Activating Max Mushrooms,Activating Maksi Mantarlar,Активация Макс-Грибы,Activating Max Mushrooms,Aktywując: Max Mushrooms,Activating Jamur Max,Activating मैक्स मुशरूम,Kích hoạt Nấm Max,Activating Max Mushrooms,Vid aktivering av Maxsvampar,Activating Max Mushrooms
869,ALCREMIE,mint-cream,gigantamax,Activating Max Mushrooms,Activando Maxisetas,Activating Maxihongo,Avec l’objet Maxi Champis activé,Dyna-Pilz aktivieren,Attivando Fungomax,Activating Max Mushrooms,다이버섯[[를]] 통해 폼체인지,ダイキノコを 有効に すれば,激活了极巨菇菇,活化了極巨菇菇,Activating Max Mushrooms,Activant Max Mushrooms,Activating Max Mushrooms,Activating Maksi Mantarlar,Активация Макс-Грибы,Activating Max Mushrooms,Aktywując: Max Mushrooms,Activating Jamur Max,Activating मैक्स मुशरूम,Kích hoạt Nấm Max,Activating Max Mushrooms,Vid aktivering av Maxsvampar,Activating Max Mushrooms
869,ALCREMIE,lemon-cream,gigantamax,Activating Max Mushrooms,Activando Maxisetas,Activating Maxihongo,Avec l’objet Maxi Champis activé,Dyna-Pilz aktivieren,Attivando Fungomax,Activating Max Mushrooms,다이버섯[[를]] 통해 폼체인지,ダイキノコを 有効に すれば,激活了极巨菇菇,活化了極巨菇菇,Activating Max Mushrooms,Activant Max Mushrooms,Activating Max Mushrooms,Activating Maksi Mantarlar,Активация Макс-Грибы,Activating Max Mushrooms,Aktywując: Max Mushrooms,Activating Jamur Max,Activating मैक्स मुशरूम,Kích hoạt Nấm Max,Activating Max Mushrooms,Vid aktivering av Maxsvampar,Activating Max Mushrooms
869,ALCREMIE,salted-cream,gigantamax,Activating Max Mushrooms,Activando Maxisetas,Activating Maxihongo,Avec l’objet Maxi Champis activé,Dyna-Pilz aktivieren,Attivando Fungomax,Activating Max Mushrooms,다이버섯[[를]] 통해 폼체인지,ダイキノコを 有効に すれば,激活了极巨菇菇,活化了極巨菇菇,Activating Max Mushrooms,Activant Max Mushrooms,Activating Max Mushrooms,Activating Maksi Mantarlar,Активация Макс-Грибы,Activating Max Mushrooms,Aktywując: Max Mushrooms,Activating Jamur Max,Activating मैक्स मुशरूम,Kích hoạt Nấm Max,Activating Max Mushrooms,Vid aktivering av Maxsvampar,Activating Max Mushrooms
869,ALCREMIE,ruby-swirl,gigantamax,Activating Max Mushrooms,Activando Maxisetas,Activating Maxihongo,Avec l’objet Maxi Champis activé,Dyna-Pilz aktivieren,Attivando Fungomax,Activating Max Mushrooms,다이버섯[[를]] 통해 폼체인지,ダイキノコを 有効に すれば,激活了极巨菇菇,活化了極巨菇菇,Activating Max Mushrooms,Activant Max Mushrooms,Activating Max Mushrooms,Activating Maksi Mantarlar,Активация Макс-Грибы,Activating Max Mushrooms,Aktywując: Max Mushrooms,Activating Jamur Max,Activating मैक्स मुशरूम,Kích hoạt Nấm Max,Activating Max Mushrooms,Vid aktivering av Maxsvampar,Activating Max Mushrooms
869,ALCREMIE,caramel-swirl,gigantamax,Activating Max Mushrooms,Activando Maxisetas,Activating Maxihongo,Avec l’objet Maxi Champis activé,Dyna-Pilz aktivieren,Attivando Fungomax,Activating Max Mushrooms,다이버섯[[를]] 통해 폼체인지,ダイキノコを 有効に すれば,激活了极巨菇菇,活化了極巨菇菇,Activating Max Mushrooms,Activant Max Mushrooms,Activating Max Mushrooms,Activating Maksi Mantarlar,Активация Макс-Грибы,Activating Max Mushrooms,Aktywując: Max Mushrooms,Activating Jamur Max,Activating मैक्स मुशरूम,Kích hoạt Nấm Max,Activating Max Mushrooms,Vid aktivering av Maxsvampar,Activating Max Mushrooms
869,ALCREMIE,rainbow-swirl,gigantamax,Activating Max Mushrooms,Activando Maxisetas,Activating Maxihongo,Avec l’objet Maxi Champis activé,Dyna-Pilz aktivieren,Attivando Fungomax,Activating Max Mushrooms,다이버섯[[를]] 통해 폼체인지,ダイキノコを 有効に すれば,激活了极巨菇菇,活化了極巨菇菇,Activating Max Mushrooms,Activant Max Mushrooms,Activating Max Mushrooms,Activating Maksi Mantarlar,Активация Макс-Грибы,Activating Max Mushrooms,Aktywując: Max Mushrooms,Activating Jamur Max,Activating मैक्स मुशरूम,Kích hoạt Nấm Max,Activating Max Mushrooms,Vid aktivering av Maxsvampar,Activating Max Mushrooms
869,ALCREMIE,gigantamax,vanilla-cream,Deactivating Max Mushrooms,Desactivando Maxisetas,Deactivating Maxihongo,Avec l’objet Maxi Champis désactivé,Dyna-Pilz deaktivieren,Disattivando Fungomax,Deactivating Max Mushrooms,다이버섯[[를]] 통해 비활성화,ダイキノコを 無効に すれば,禁用了极巨菇菇,禁用了極巨菇菇,Deactivating Max Mushrooms,Desactivant Max Mushrooms,Deactivating Max Mushrooms,Deactivating Maksi Mantarlar,Деактивация Макс-Грибы,Deactivating Max Mushrooms,Dezaktywując: Max Mushrooms,Deactivating Jamur Max,Deactivating मैक्स मुशरूम,Vô Hiệu Hoá Nấm Max,Deactivating Max Mushrooms,Vid avaktivering av Maxsvampar,Deactivating Max Mushrooms
869,ALCREMIE,gigantamax,ruby-cream,Deactivating Max Mushrooms,Desactivando Maxisetas,Deactivating Maxihongo,Avec l’objet Maxi Champis désactivé,Dyna-Pilz deaktivieren,Disattivando Fungomax,Deactivating Max Mushrooms,다이버섯[[를]] 통해 비활성화,ダイキノコを 無効に すれば,禁用了极巨菇菇,禁用了極巨菇菇,Deactivating Max Mushrooms,Desactivant Max Mushrooms,Deactivating Max Mushrooms,Deactivating Maksi Mantarlar,Деактивация Макс-Грибы,Deactivating Max Mushrooms,Dezaktywując: Max Mushrooms,Deactivating Jamur Max,Deactivating मैक्स मुशरूम,Vô Hiệu Hoá Nấm Max,Deactivating Max Mushrooms,Vid avaktivering av Maxsvampar,Deactivating Max Mushrooms
